datetime,datetime,year,month,day,random,sazonal,timeSeries
2007-01-01 00:00:00,2007-01-01 00:00:00,2007,1,1,0.7978644815549738,1.0,10.797864481554974
2007-01-01 01:00:00,2007-01-01 01:00:00,2007,1,1,0.9979610580667989,0.9999997588734665,10.997958646801465
2007-01-01 02:00:00,2007-01-01 02:00:00,2007,1,1,0.40479671059801026,0.9999990354939822,10.404787065537832
2007-01-01 03:00:00,2007-01-01 03:00:00,2007,1,1,0.1603899733614894,0.999997829861896,10.160368271980449
2007-01-01 04:00:00,2007-01-01 04:00:00,2007,1,1,0.12024144913986101,0.9999961419777894,10.120202868917755
2007-01-01 05:00:00,2007-01-01 05:00:00,2007,1,1,0.8190675120374621,0.9999939718424762,10.819007230462224
2007-01-01 06:00:00,2007-01-01 06:00:00,2007,1,1,0.7908412145297754,0.9999913194570031,10.790754409099806
2007-01-01 07:00:00,2007-01-01 07:00:00,2007,1,1,0.42273933235003025,0.9999881848226492,10.422621180576522
2007-01-01 08:00:00,2007-01-01 08:00:00,2007,1,1,0.9805795159450963,0.9999845679409262,10.980425195354359
2007-01-01 09:00:00,2007-01-01 09:00:00,2007,1,1,0.4372926267371787,0.9999804688135782,10.437097314872961
2007-01-01 10:00:00,2007-01-01 10:00:00,2007,1,1,0.8749435792508765,0.9999758874425823,10.874702453676699
2007-01-01 11:00:00,2007-01-01 11:00:00,2007,1,1,0.42758877445180365,0.9999708238301476,10.42729701275328
2007-01-01 12:00:00,2007-01-01 12:00:00,2007,1,1,0.030427623349974176,0.9999652779787161,10.030080403137136
2007-01-01 13:00:00,2007-01-01 13:00:00,2007,1,1,0.40964501601505576,0.9999592498909624,10.40923751492468
2007-01-01 14:00:00,2007-01-01 14:00:00,2007,1,1,0.5041174032911615,0.9999527395697936,10.503644798989097
2007-01-01 15:00:00,2007-01-01 15:00:00,2007,1,1,0.18265249731487987,0.9999457470183493,10.182109967498373
2007-01-01 16:00:00,2007-01-01 16:00:00,2007,1,1,0.44866635492382645,0.9999382722400014,10.44804907732384
2007-01-01 17:00:00,2007-01-01 17:00:00,2007,1,1,0.35554813200406554,0.9999303152383551,10.354851284387616
2007-01-01 18:00:00,2007-01-01 18:00:00,2007,1,1,0.60793854708992,0.9999218760172474,10.607157307262394
2007-01-01 19:00:00,2007-01-01 19:00:00,2007,1,1,0.690356331059037,0.999912954580748,10.689485876866518
2007-01-01 20:00:00,2007-01-01 20:00:00,2007,1,1,0.11010536083944156,0.9999035509331596,10.109140870171037
2007-01-01 21:00:00,2007-01-01 21:00:00,2007,1,1,0.1478914157871447,0.9998936650790171,10.146828066577315
2007-01-01 22:00:00,2007-01-01 22:00:00,2007,1,1,0.7138448594037116,0.9998832970230879,10.71267782963459
2007-01-01 23:00:00,2007-01-01 23:00:00,2007,1,1,0.2055654095705961,0.9998724467703719,10.204289877274315
2007-01-02 00:00:00,2007-01-02 00:00:00,2007,1,2,0.43911811846592474,0.9998611143261019,10.437729261726943
2007-01-02 01:00:00,2007-01-02 01:00:00,2007,1,2,0.5573408808516139,0.9998492996957429,10.555833877809043
2007-01-02 02:00:00,2007-01-02 02:00:00,2007,1,2,0.4418554559516359,0.9998370028849926,10.440225484801562
2007-01-02 03:00:00,2007-01-02 03:00:00,2007,1,2,0.8748288959432102,0.999824223899781,10.87307113494102
2007-01-02 04:00:00,2007-01-02 04:00:00,2007,1,2,0.9348141521540196,0.9998109627462709,10.93292377961673
2007-01-02 05:00:00,2007-01-02 05:00:00,2007,1,2,0.34043501670261556,0.9997972194308576,10.338407211011193
2007-01-02 06:00:00,2007-01-02 06:00:00,2007,1,2,0.591564734965734,0.9997829939601689,10.589394674567423
2007-01-02 07:00:00,2007-01-02 07:00:00,2007,1,2,0.4701269763961008,0.999768286341065,10.46780983980675
2007-01-02 08:00:00,2007-01-02 08:00:00,2007,1,2,0.617827432369738,0.9997530965806385,10.615358398176124
2007-01-02 09:00:00,2007-01-02 09:00:00,2007,1,2,0.4301862367905356,0.999737424686215,10.427560483652684
2007-01-02 10:00:00,2007-01-02 10:00:00,2007,1,2,0.00748452811292688,0.9997212706653522,10.00469723476645
2007-01-02 11:00:00,2007-01-02 11:00:00,2007,1,2,0.609650794847749,0.9997046345258405,10.606697140106153
2007-01-02 12:00:00,2007-01-02 12:00:00,2007,1,2,0.08025223953107963,0.9996875162757026,10.077127402288106
2007-01-02 13:00:00,2007-01-02 13:00:00,2007,1,2,0.1708043035791036,0.9996699159231939,10.167503462811043
2007-01-02 14:00:00,2007-01-02 14:00:00,2007,1,2,0.7309244218941033,0.9996518334768022,10.727442756662125
2007-01-02 15:00:00,2007-01-02 15:00:00,2007,1,2,0.4131216975433557,0.9996332689452478,10.409454386995833
2007-01-02 16:00:00,2007-01-02 16:00:00,2007,1,2,0.7668054731200369,0.9996142223374836,10.762947696494873
2007-01-02 17:00:00,2007-01-02 17:00:00,2007,1,2,0.4256676867191086,0.9995946936626949,10.42161462334606
2007-01-02 18:00:00,2007-01-02 18:00:00,2007,1,2,0.9537913203137696,0.9995746829302993,10.949538149616762
2007-01-02 19:00:00,2007-01-02 19:00:00,2007,1,2,0.08993943426914852,0.9995541901499472,10.08548133576862
2007-01-02 20:00:00,2007-01-02 20:00:00,2007,1,2,0.16408260990672274,0.9995332153315211,10.159414763221934
2007-01-02 21:00:00,2007-01-02 21:00:00,2007,1,2,0.39054616310296375,0.9995117584851364,10.385663747954329
2007-01-02 22:00:00,2007-01-02 22:00:00,2007,1,2,0.35627643216900773,0.9994898196211406,10.351174628380413
2007-01-02 23:00:00,2007-01-02 23:00:00,2007,1,2,0.9347181676864259,0.9994673987501137,10.929392155187564
2007-01-03 00:00:00,2007-01-03 00:00:00,2007,1,3,0.35915428661947035,0.9994444958828685,10.353599245448155
2007-01-03 01:00:00,2007-01-03 01:00:00,2007,1,3,0.8887240154052425,0.9994211110304497,10.882935125709741
2007-01-03 02:00:00,2007-01-03 02:00:00,2007,1,3,0.8722801146096197,0.999397244204135,10.86625255665097
2007-01-03 03:00:00,2007-01-03 03:00:00,2007,1,3,0.1282158284479099,0.999372895415434,10.121944782602249
2007-01-03 04:00:00,2007-01-03 04:00:00,2007,1,3,0.3641460682588027,0.999348064676089,10.357626715019693
2007-01-03 05:00:00,2007-01-03 05:00:00,2007,1,3,0.4024914040775318,0.999322751998075,10.395718924058281
2007-01-03 06:00:00,2007-01-03 06:00:00,2007,1,3,0.9265184965390786,0.9992969573935987,10.919488070475065
2007-01-03 07:00:00,2007-01-03 07:00:00,2007,1,3,0.11948084529523928,0.9992706808750998,10.112187654046238
2007-01-03 08:00:00,2007-01-03 08:00:00,2007,1,3,0.11724749733890205,0.9992439224552503,10.109686721891403
2007-01-03 09:00:00,2007-01-03 09:00:00,2007,1,3,0.6013075698905299,0.9992166821469545,10.593474391360074
2007-01-03 10:00:00,2007-01-03 10:00:00,2007,1,3,0.011928435188206743,0.999188959963349,10.003818034821697
2007-01-03 11:00:00,2007-01-03 11:00:00,2007,1,3,0.9903484517457277,0.9991607559178031,10.981956010923758
2007-01-03 12:00:00,2007-01-03 12:00:00,2007,1,3,0.37566758928200017,0.9991320700239181,10.366988289521183
2007-01-03 13:00:00,2007-01-03 13:00:00,2007,1,3,0.8120890617402803,0.9991029022955281,10.803118084695562
2007-01-03 14:00:00,2007-01-03 14:00:00,2007,1,3,0.8425720196739828,0.9990732527466991,10.833304547140973
2007-01-03 15:00:00,2007-01-03 15:00:00,2007,1,3,0.28679462098004205,0.9990431213917298,10.27722583489734
