datetime,datetime,year,month,day,random,sazonal,timeSeries
2053-01-01 00:00:00,2053-01-01 00:00:00,2053,1,1,0.45585604158423043,1.0,10.45585604158423
2053-01-01 01:00:00,2053-01-01 01:00:00,2053,1,1,0.16466801095901606,0.9999997588734665,10.16466559969368
2053-01-01 02:00:00,2053-01-01 02:00:00,2053,1,1,0.6839021652522165,0.9999990354939822,10.683892520192039
2053-01-01 03:00:00,2053-01-01 03:00:00,2053,1,1,0.20627999341484504,0.999997829861896,10.206258292033805
2053-01-01 04:00:00,2053-01-01 04:00:00,2053,1,1,0.13858464245653845,0.9999961419777894,10.138546062234433
2053-01-01 05:00:00,2053-01-01 05:00:00,2053,1,1,0.18817143958590854,0.9999939718424762,10.18811115801067
2053-01-01 06:00:00,2053-01-01 06:00:00,2053,1,1,0.7554129563751202,0.9999913194570031,10.755326150945152
2053-01-01 07:00:00,2053-01-01 07:00:00,2053,1,1,0.3114564309358212,0.9999881848226492,10.311338279162314
2053-01-01 08:00:00,2053-01-01 08:00:00,2053,1,1,0.5983962710820211,0.9999845679409262,10.598241950491284
2053-01-01 09:00:00,2053-01-01 09:00:00,2053,1,1,0.301824248839454,0.9999804688135782,10.301628936975236
2053-01-01 10:00:00,2053-01-01 10:00:00,2053,1,1,0.05568934697782968,0.9999758874425823,10.055448221403651
2053-01-01 11:00:00,2053-01-01 11:00:00,2053,1,1,0.5561047695419773,0.9999708238301476,10.555813007843454
2053-01-01 12:00:00,2053-01-01 12:00:00,2053,1,1,0.9692877327743575,0.9999652779787161,10.96894051256152
2053-01-01 13:00:00,2053-01-01 13:00:00,2053,1,1,0.06356227910148393,0.9999592498909624,10.063154778011109
2053-01-01 14:00:00,2053-01-01 14:00:00,2053,1,1,0.34564783986249403,0.9999527395697936,10.34517523556043
2053-01-01 15:00:00,2053-01-01 15:00:00,2053,1,1,0.07151839699519869,0.9999457470183493,10.070975867178692
2053-01-01 16:00:00,2053-01-01 16:00:00,2053,1,1,0.9261836977378164,0.9999382722400014,10.92556642013783
2053-01-01 17:00:00,2053-01-01 17:00:00,2053,1,1,0.09929144776273868,0.9999303152383551,10.098594600146289
2053-01-01 18:00:00,2053-01-01 18:00:00,2053,1,1,0.6160032273055052,0.9999218760172474,10.615221987477979
